Food_Name,Type,Overview,Irritable_Bowel_Syndrome​_Score,Irritable_Bowel_Syndrome​_Reason,Obesity_Score,Obesity_Reason,Diabetes_Score,Diabetes_Reason,GI_score,Carbohydrate_content,Hyperlipidimia_Score,Hyperlipidemia_Reason,Hypertension_Score,Hypertension_Reason,Healthy,Think_Well_Score,Think_Well_Reason,Feel_Well_Score,Feel_Well_Reason,Live_Well_Score,Live_Well_Reason,Superfood,Allergens,Dietary_Restrictions,Similar_Choices,Mealtimes,Additional_food,,
Red Grape,1,Antioxidant anthocyanins in grapes promote cardiovascular health  and also nourish the gut bacteria. Anthocyanins appear to support weight loss as well. ,5,Red grape if low in FODMAP.,4,Polyphenols in grape may encourage use of blood sugar by the intestines  increasing energy expenditure to prevent weight gain.,3,Anthocyanin and flavan-3-ols in grapes have been suggested to reduce the risk of type 2 diabetes.,"49
Low GI","1 cup (151 g) / serv

CHO = 23.23 g = 1.5 ex",5,Grape skin may have anti-obesity effects by inhibiting fat storage in the liver.,5,Sodium per serv = 6.9 mg,5,1,Grapes contain significant amounts of neurotransmitter melatonin.,1,Increased consumption of red grape polyphenols is associated with increased numbers of butyrate-producing Bifidobacteria.,1,Antioxidants in grape juice are found to have protective effects against oxidative damage in the liver.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Blueberry
Raspberry
Passionfruit
Honeydew
Strawberry","Breakfast
Snack",,,
Green Guava,1,Guava is an excellent source of blood pressure-lowering potassium. Its dietary fiber also nourishes beneficial gut bacteria and promotes a diverse microbiome.,1,Green guava is high in FODMAP.,4,Guava may have weight-lowering effects.,1,A study found guava extracts to lower post-meal blood glucose levels  possibly by slowing intestinal glucose absorption.,"31 - 33
Low GI","1 whole (325 g) / serv

CHO = 31.85 g = 2.12 ex",5,Antioxidants in guava may prevent arterial plaque formation by protecting against oxidation of cholesterol.,5,Sodium per serv = 73.26 mg,5,1,Vitamin C found in guava is used for GABA and serotonin production.,1,Guava stimulates growth of Lactobacillus and Bifidobacteria  which support other beneficial bacteria that produce butyrate.,1,Guava antioxidant and anti-inflammatory compounds protect the liver from damage when bile flow is reduced or impeded.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Pear
Apple
Peach
Plum
Persimmon","Breakfast
Snack",,,
Honeydew,1,High amounts of potassium in honeydews help to lower blood pressure  a cardiovascular risk factor. Honeydew is also a low-carbohydrate and nutrient-dense fruit  making it suitable for weight loss and diabetic diets.,5,Honeydew is low FODMAP.,5,At only 36kcal per 100g  honey dew is a low-energy fruit and can be included in a healthy weight loss diet.,5,Honeydew may mitigate insulin resistance.,"62
Medium GI","1 slice (160 g) / serv

CHO = 14.5 g = 0.97 ex",5,Phenolic antioxidants in honeydew melon have been found to have cholesterol-lowering effects.,5,Sodium per serv = 28.8 mg,5,1,A 100g of honeydew provides about half the daily requirement of vitamin C  a co-factor in serotonin synthesis.,1,Flavonoid antioxidants in honeydew increase numbers and diversity of gut bacteria that produce butyrate.,1,Fiber in honeydew binds cholesterol in the gut and prompts the liver to produce more bile. Antioxidants in honeydew protect the liver  ensuring healthy bile production.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Banana
Pineapple
Rambutan
Papaya
Durian","Breakfast
Snack",,,
Jackfruit,1,Jackfruit's fibre and antioxidant content make it a heart-healthy food. Jackfruit also contains potassium  which lowers blood pressure  a risk factor for heart diseases.,5,Jackfruit is low FODMAP.,5,Jackfruit has anti-inflammatory properties that prevent low-grade inflammation that is associated with obesity.,5,In a study of healthy and diabetic particpants  jackfruit was found to improve glucose tolerance.,"75
High GI","1 whole seed (37.84 g) / serv

CHO = 0.77 g = 0.05 ex",5,Flavonone antioxidant compounds in jackfruit have been found to lower cholesterol levels.,5,Sodium per serv = 5.09 mg,5,1,As a source of 23mg of vitamin C per 100g  jackfruit provides vitamin C for the making of serotonin and GABA.,1,Jackfruit improves the numbers and diversity of gut bacteria and increases production of butyrate and other short chain fatty acids (SCFA)  according to a published study.,1,Many carotenoids in jackfruit are known to have liver-protective effects.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Durian
Papaya
Honeydew
Pineapple
Banana","Breakfast
Snack",,,
Lime,1,Vitamin C in lime helps to lower blood pressure  and is also vital for the production of happy hormone dopamine. Lime's flavanones also nourishes gut health  promoting weight loss and improves glucose metabolism.,5,Lime is low FODMAP.,4,Flavonoids of citrus fruits like lime may have antiobesity effects by reducing body weight and fat.,5,Naringin in lime may improve insulin levels and have hypoglycemic effects.,"32
Low GI","1 whole (35 g) / serv

CHO = 2.65 g = 0.18 ex",5,Lime's high level of vitamin C prevents oxidation of cholesterol  which may lead to arterial plaque formation.,5,Sodium per serv = 1.1 mg,5,1,Lime posseses hesperidin which might have antidepressamt effects.,1,Hesperetin in lime may encourage SCFA production.,1,Flavonoid antioxidant compounds in limes improves the production and quality of bile.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Pineapple
Pomelo
Rambutan
Red Grapefruit
Banana",Lunch Dinner,,,
Lychee,1,Lychees are a good source of potassium and vitamin C which helps lower blood pressure. They are also a source of fibre which supports weight loss and slows glucose absorption. ,1,Lychee is high in FODMAP.,4,Phenolics in lychee may inhibit the accumulation of fat in the liver.,1,Procyanidins in lychee pulp may improve glucose metabolism in the liver and muscles by regulating the glucose transport system.,"48
Low GI","1 cup (130 g) / serv

CHO = 66.43 g = 4.42 ex",5,Lychee decreases LDL cholesterol and increases HDL cholesterol.,5,Sodium per serv = 1.61 mg,5,1,Lychee provides a high 71.5mg of vitamin C per 100g  vitamin C is needed for producing serotonin.,1,Phenolic antioxidants in lychee alleviate dysbiosis  promoting increased production of butyrate.,1,Lychee protects the liver from degenerative fatty deposits  thereby promoting healthy bile production.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Plum
Persimmon
Pomegranate
Watermelon","Breakfast
Snack",,,
Mango,1,Mango's fibre and polyphenol catechin improve blood lipid profiles and blood glucose control. Mango is also nutrient dense which aids with weight loss.,1,Mango is high in FODMAP.,4,Mango may increase the population of Akkermansia Muciniphila bacteria in our gut which is associated with healthy weight.,5,Mango has a lower glycemic effect than white bread  according to one study  and it has been shown to reduce blood glucose levels and hba1c levels when consumed in moderation.,"51-56
Low / medium GI","1 whole (232 g) / serv

CHO = 20.94 g = 1.39 ex",5,Mango phenolic antioxidants have protective effects against arterial plaque formation by improving the beneficial ratios of protein portion of cholesterol molecules.,5,Sodium per serv = 10.39 mg,5,1,Mango is a source of vitamin B6 and C  both of which are used to make serotonin and GABA.,1,Mango consumption improved the activity of gut bacteria in a study of postmenopausal women.,1,The antioxidative effects of mango protect the liver against oxidative damage.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Fig
Lychee
Peach
Soursop","Breakfast
Snack",,,
Mangosteen,1,Mangosteen's fibre works wonders in reducing blood pressure and slowing glucose absorption. Additionally  the fibre helps with weight loss.,5,Mangosteen is low FODMAP.,5,Polyphenol mangostin can inhibit growth of fat cells  reducing body fat storage and weight gain.,5,Mangosteen contains phenolic antioxidant compounds called xanthones  which improve blood sugar control.,"58
Medium GI","1 whole (69.2 g) / serv

CHO = 0.93 g = 0.062 ex",5,Preliminary studies show that mangosteen prevents elevated cholesterol.,5,Sodium per serv = 1.16 mg,5,1,Alpha-mangostin found in mangosteen raised serotonin and GABA levels in a mice study.,1,Mangosteen increases numbers and improves ratios of butyrate-producing gut bacteria.,1,Mangosteen has liver-protective benefits  which helps ensure healthy bile production.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Red Grape
Papaya
Pineapple
Rambutan
Jackfruit","Breakfast
Snack",,,
Papaya,1,Papaya's antioxidants lycopene and vitamin C possesses heart-protective effects. Papaya is also a source of fibre which supports weight loss.,5,Papaya is low FODMAP.,4,Papaya may reduce body fat storage.,5,Papaya might have hypoglycemic effects that reduces the risk of diabetes.,"59
Medium GI ","1 slice (225 g) / serv

CHO = 15.53 g = 1 ex",5,Papaya has been found to lower cholesterol levels in animal research.,5,Sodium per serv = 15.75 mg,5,1,Papaya has naturally occurring serotonin. Furthermore  its fibres encourage the growth of lactic acid bacteria  of which many strains produce GABA.,1,Papaya polysaccharides are fermented by gut bacteria  which increases production of butyrate.,1,Papaya protects and improves liver health by reducing inflammation in the liver  preventing fatty deposits  and increasing antioxidant status  which helps ensure healthy bile production.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Passionfruit
Banana
Honeydew
Rambutan
Durian","Breakfast
Snack",,,
Passionfruit,1,Passionfruit offers blood pressure-lowering potassium  and weight loss promoting fibre. Fibre also helps to improve blood glucose control. Passionfruit has iron as well  which is vital for the production of red blood cells.,5,Passionfruit is low FODMAP  up to 23g.,5,Just one passionfruit packs almost 2g of fibre which is known to aid weight loss.,5,Passionfruit has a low glycemic index  meaning it doesn't raise blood sugar excessively if eaten fresh and in moderation.,"16
Low GI ","1 whole (35 g) / serv

CHO = 4.26 g = 0.28 ex",5,Passionfruit contains no cholesterol or saturated fat and is high in fiber  which reduces cholesterol levels.,5,Sodium per serv = 5.1 mg,5,1,The stems and leaves of passionfruit have been shown to have antidepressive effects through encouraging the production of serotonin and dopamine.,1,Passionfruit contains quercetin which may support the growth of healthy bacteria in our gut  promoting short chain fatty acid (SCFA) production.,1,Vanillic and ferulic acid in passionfruit have been shown to be liver-protective by preventing liver fibrosis.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Banana
Rambutan
Papaya
Pineapple
Strawberry","Breakfast
Snack",,,
Peach,1,In addition to their fiber content  peaches are high in polyphenol which can improve gut health. Antioxidants in peaches lower cholesterol levels and reduce heart disease risk. ,1,Peach is high FODMAP.,5,Peach may display antiobesity effects.,5,With a low glycemic index and load of 28 and 4 respectively  peaches are unlikely to cause spikes and blood sugar levels.,"42
Low GI ","1 whole (138 g) / serv

CHO = 10.81 g = 0.7 ex",5,Peach may prevent the formation of dangerous arterial plaque by inhibiting cholesterol oxidation.,5,Sodium per serv = 2.48 mg,5,1,Peach polyphenols might encourage the growth of Lactobacillus  many of which are GABA-producing bacteria.,1,Bioflavonoids in peaches are known to improve gut microbiota and promote increased butyrate production.,1,Peach polyphenols are found to have cardioprotective effects in an animal study.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Fig
Lychee
Peach
Mago","Breakfast
Snack",,,
Kiwi,1,Kiwi fruit is rich in various antioxidants  including vitamin C  vitamin E  and polyphenols which have protective effects against heart diseases  may help reduce body fat mass  improve blood pressure and regulating inflammatory responses. ,5,Kiwi is low FODMAP,5,Daily kiwifruit intake can reduce body fat mass  improve blood pressure and regulating inflammatory responses in overweight and obese young adults.,5,Kiwi has a high water content. A 100g kiwifruit would be equivalent to about 5g (1 teaspoon) of glucose in its effect on blood glucose; thus  kiwifruit have a medium GI  low glycemic load and are suitable for those with diabetes taken in moderation. ,"58
Medium GI","2 whole (176.8 g) / serv

CHO = 14.14 g = 0.9 ex",5,"Kiwi is high in vitamin C  E and polyphenols which have protective effects against CVD.

after 8 weeks of consumption of kiwifruit  the HDL-C concentration was significantly increased and the LDL cholesterol/HDL-C ratio and total cholesterol/HDL-C ratio were significantly decreased. ",5,Sodium per serv = 6.1 mg,5,1,Kiwifruit is high in pectic polysaccharides and dietary fiber. They can act as a prebiotic in selectively enhancing the growth of intestinal lactic acid bacteria (lactobacilli and bifidobacteria) and causing perturbation in the population of Clostridium and Bacteriodes.  Lactobacillus are GABA-producing bacteria.,1,Kiwi contains dietary fiber  including soluble fiber  which is fermented by bacteria in the colon to produce SCFAs. Consuming kiwi as part of a balanced diet can contribute to the production of SCFAs in the gut.,1,Kiwi fruit is rich in various antioxidants  including vitamin C  vitamin E  and polyphenols. These compounds have been associated with reducing oxidative stress and inflammation  which are factors that can contribute to liver damage. However  most of the existing research on kiwi's potential liver-protecting benefits is limited to animal studies or in vitro experiments. ,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Orange
Fig
Lime
Peach
Pomelo","Breakfast
Snack",,,
Asian Pear,1,Plums improve overall gut health and also prevent constipation due to its high fibre content. Its fibres also promote weight loss and reduce blood cholesterol levels.,1,Asian pear is high FODMAP.,4,It is suggested the fibre in pears reduce energy intake and aids with reducing weight over time.,5,Soluble fiber in Asian pears slows absorption of glucose into the bloodstream and improves insulin sensitivity.,"18 - 26
Low GI","1 whole (169 g) / serv

CHO = 11.94 g = 0.8 ex",5,Asian pears have exhibited hyperlipidemic effects in multiple studies.,5,Sodium per serv = 6.29 mg,5,1,Asian pears have many active compounds such as flavonoids  triterpenoids  phenolic acids  arbutin  chlorogenic acid  and malaxinic acid.,1,Asian pear fibres are suggested to promote gut health and prevent constipation.,1,Asian pears are high in fibre and many phytochemicals. However  they are also a source of fructose and sorbitol. Excessive intake of fructose would impact the development of liver disease.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Fig
Persimmon
Pomegranate
Soursop","Breakfast
Snack",,,
Packham Pear,1,Pears provide fibre  making it great for weight loss and lowering blood cholesterol. The fibre also helps slow glucose absorption and nourish the gut bacteria.,1,Packham pear is high FODMAP.,5,In a study of 49 overweight women  pears were associated with reduction in body weight.,5,In a study of overweight women  those who added pears to their diet had a significantly greater decrease in fasting blood sugar compared to those who added oat cookies.,"20 - 49
Low GI","1 whole (235 g) / serv

CHO = 20.3 g = 1.4 ex",5,Pear consumption increases antioxidant levels which decreases oxidation of cholesterol into dangerous forms associated with arterial plaque formation.,5,Sodium per serv = 4.23 mg,5,1,Pears have many active compounds such as flavonoids  triterpenoids  phenolic acids  arbutin  chlorogenic acid  and malaxinic acid.,1,Pears may promote the growth of Bacteriodetes which produces SCFA proppionate.,1,Pears are high in fibre and many phytochemicals. However  they are also a source of fructose and sorbitol. Excessive intake of fructose would impact the development of liver disease.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Fig
Persimmon
Pomegranate
Soursop","Breakfast
Snack",,,
Persimmon,1,Persimmon is rich in antioxidants that help lower blood cholesterol and protect against neurodegenerative disorders. Persimmon is also a source of soluble fibre that promotes weight loss and improved blood glucose control,1,Persimmon is high in FODMAP.,5,Persimmon tannins may alter the gut microbiome in a way that promotes weight loss.,3,Persimmons feature ellagic acid  an antioxidant which is known to have anti-diabetic activity by stimulating insulin secretion and decreasing glucose intolerance.,"61
Medium GI","1 whole (189 g) / serv

CHO = 27.5 g = 1.8 ex",5,Laboratory studies show that persimmon consumption leads to lower cholesterol levels  partly due to high levels of phenolic antioxidants.,5,Sodium per serv = 14.67 mg,5,1,Tannins in persimmon may have neuroprotective effects.,1,Persimmon polysaccharides might promote the growth of Lactobacillus bacteria  which in turn feed butyrate-producing species.,1,Antioxidant and anti-inflammatory effects of persimmon may reduce inflammatory biomarkers in the liver  according to laboratory animal studies. By protecting liver health  persimmons help ensure healthy bile production.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Apple
Apricot
Plum
Peach
Fig","Breakfast
Snack",,,
Pineapple,1,Bromelain  an enzyme found in pineapples  may support weight loss and confer cardioprotective effects. Pineapples are also a source of vitamin C  another cardioprotective nutrient  as well as a nutrient involved in producing dopamine.,5,Pineapple is low FODMAP.,4,Pineapple juice appeared to promote fat burning and have anti-obesity effects in an animal study.,5,Pineapple is found to improve insulin sensitivity in a trial of 10 diabetic people.,"66
Medium GI","1 slice (160 g) / serv

CHO = 11.48 g = 0.8 ex",5,A preliminary study of laboratory animals found that pineapple juice consumption decreased the levels of circulating fats in the bloodstream but did not decrease cholesterol levels.,5,Sodium per serv = 2.8 mg,5,1,Pineapple is a great source of vitamin C which is involved in the production of serotonin  dopamine and GABA.,1,Pineapple was found to have prebiotic effects and enhance SCFA production in preliminary research.,1,Pineapples exhibited hepatoprotective activity  as it is shown to decrease the ALT and AST levels in animal studies.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Papaya
Banana
Mangosteen
Blueberry
Red Grape","Breakfast
Snack",,,
