Food_Name,Type,Age,Gender,Irritable_Bowel_Syndrome​_Score,Obesity_Score,Diabetes_Score,GI_score,Hyperlipidimia_Score,Hypertension_Score,Healthy,Allergens,,
Wholemeal Bread,0,2,1,1,Y,5,"65
Medium GI",5,5,5,"Gluten
Lactose
Grain
Milk",,
Paper Thosai,0,2,2,5,Y,1,"39.69
Low GI",4,5,5,"Legumes
Milk",,
Brown Rice Noodle,0,2,2,5,Y,5,"65
Medium GI",5,5,5,"Gluten
Grain",,
Cheese (reduced fat),3,1,2,5,Y,5,"0
Low GI
",5,5,5,"Dairy
Milk",,
Low-fat milk,5,1,2,1,Y,5,"31
Low GI",5,5,5,"Dairy
Milk",,
Eggs,3,1,2,5,Y,5,"0 
Low GI",5,5,5,Egg,,
Chickpea,4,1,2,3,N,1,"36
Low GI",5,5,5,N/A,,
Herbal Chicken Tonic,3,1,2,5,N,5,N/A,4,1,5,N/A,,
Skinless Roasted Chicken,3,2,2,5,Y,5,N/A,4,4,5,N/A,,
Beef Steak,3,N/A,2,5,N,1,"0
Low GI",1,1,1,N/A,,
Tofu,4,2,1,5,Y,5,"15
Low GI",5,5,5,Soy,,
Prawn,3,2,1,5,Y,5,"0
Low GI
",4,2,5,Shellfish,,
Salmon,3,2,2,5,N,5,"0
Low GI
",5,5,5,Fish,,
Natural Yoghurt,4,2,2,1,Y,5,"19
Low GI",5,5,5,"Lactose
Milk",,
Acai Bowl,4,2,2,1,Y,1,N/A,5,5,4,"Lactose
Nuts",,
Chicken Quinoa Salad with Vegetables,3,2,2,1,N,1,"Quinoa:
53
Low GI",5,5,5,N/A,,
Chickpea Curry,4,2,2,1,N,1,"Chickpea:
36
Low GI",1,1,1,N/A,,
Dhal,4,2,2,1,Y,1,"29
Low GI",5,5,5,N/A,,
Kimchi,2,2,2,2,Y,5,N/A,5,5,5,N/A,,
Korean Kimchi Soup,4,2,2,2,Y,5,N/A,5,1,5,"Fish
Shellfish
Soy",,
Lentil with Rice,4,1,1,1,Y,1,"29
Low GI",5,5,5,Grain,,
Stir-fried Tempeh with Longbean,4,2,2,1,N,5,"Tempeh
15 Low GI

Long bean
86 High GI",4,4,4,Soy,,
Pumpkin Soup,2,1,2,2,N,5,"Pumpkin
64 Medium GI

Pumpkin soup
N/A",5,3,4,"Lactose
Milk",,
Salmon Nigiri,3,2,2,5,Y,5,N/A,5,5,4,Fish,,
Stir-fried Vegetables,2,2,2,1,Y,5,N/A,5,5,4,N/A,,
Thai Mango Salad,1,1,2,1,N,1,"Mango
51
Low GI",5,1,5,Nuts,,
Black Tea,5,2,2,5,Y,5,"0
Low GI",5,5,5,N/A,,
Green Tea,5,2,2,5,Y,5,N/A,5,5,5,N/A,,
Kombucha,5,2,2,1,Y,5,N/A,5,5,4,N/A,,
Dark Chocolate,4,1,2,5,Y,5,"23
Low GI",5,5,4,"Lactose
Soy
Milk",,
White Fungus and Longan Soup,5,1,1,1,Y,1,N/A,4,5,4,N/A,,
