Food_Name,Overview,Type,Irritable_Bowel_Syndrome​_Score,Irritable_Bowel_Syndrome​_Reason,Obesity_Score,Obesity_Reason,Source,Diabetes_Score,Diabetes_Reason,Carbohydrate_content,Source,Hyperlipidimia_Score,Hyperlipidemia_Reason,Source,Hypertension_Score,Hypertension_Reason,Healthy,Think_Well_Score,Think_Well_Reason_,Feel_Well_Score,Feel_Well_Reason,Live_Well_Score,Live_Well_Reason,"Gut_Superfood_or_Fermented_food_=_1,_else_0",Allergens,Dietary_Restrictions,Similar_Choices,Mealtimes,Additional_food,Healthier_alternatives,
Beetroot,"Beetroot's anthocyanins protect the heart and blood vessels by preventing the oxidation of cholesterol. Fibre in beetroot also supports weight loss, and slow glucose absorption.",2,1,Beeroot is high FODMAP.,Y,Beetroot leaves supplements reduce body weight and BMI in overweight and obese individuals.,https://pubmed.ncbi.nlm.nih.gov/30993531/,5,It is suggested the polyphenols in beetroot are responsible for its anti-diabetic effects and positive impact on insulin resistance.,"1 whole (240 g) / serv

CHO = 14.78 g = 0.98 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6947971/,5,"Nitrates in beetroot have been found to lower LDL cholesterol levels in some patients with hypertension, according to a clinical study.",https://pubmed.ncbi.nlm.nih.gov/28050806/,5,Sodium per serv = 94.08 mg,5,1,Beetroot may have protective effects against parkinson's disease through antioxidative activities.,1,"Betalains and phenolic antioxidant compounds in beetroot increase production of butyrate by gut bacteria, according to research.",1,"In a clinical trial, overweight adults consumed a beetroot supplement for 12 weeks. Tests revealed significant improvement in gallbladder volume and the rate and volume of bile released by the gallbladder.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Cauliflower
Red Cabbage
Lima Bean
Leek","Lunch
Dinner",Asparagus,,
Black Carrot Cake,"Black carrot cake is rich in fat and carbohydrates, being unsuitable for weight loss and diabetic diets. Black carrot cake is also packed with sodium, which promotes high blood pressure, a cardiovascular risk factor.",6,1,Black carrot cake is high FODMAP.,N,High fat consumption is associated with gut dysbiosis which in turn is associated with increased risk of obesity.,"https://sci-hub.se/http://dx.doi.org/10.1136/gutjnl-2018-317609
https://academic.oup.com/femsec/article/94/5/fiy045/4939468",1,High fat consumption is associated with gut dysbiosis which in turn is associated with increased risk of type 2 diabetes.,"1 whole (350 g) / serv

CHO = 65.77 g = 4.3 ex","https://sci-hub.se/http://dx.doi.org/10.1136/gutjnl-2018-317609
https://academic.oup.com/femsec/article/94/5/fiy045/4939468",3,Black carrot cake has a considerable amount of saturated fat which raises unhealthy LDL blood cholesterol.,https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/fat/art-20045550,1,Sodium per serv = 1937.08 mg,1,-1,"While carrot cake can be a good source of vegetables and fibre, cooking it in excess fat may lead to a reduction of GABA in the brain.",-1,High fat consumption has been shown to significantly reduce the amount of short-chain fatty acids (SCFA) in the gut.,-1,Fried food and higher consumption of fat is associated with the formation of gallstones which may impair fat digestion.,0,Egg,"Halal
Pescetarian","Egg Prata
Char Kway Teow
Pad Thai","Breakfast
Lunch
Dinner","chwee kueh
Popiah","Acai Bowl
Dark chocolate
White Fungus and Longan Soup",
Black Olive,"Black olives are a good source of dietary fiber and vitamin E, both of which confer cardioprotective benefits. Vitamin E may also support good skin health, while fibre promotes weight loss.",2,5,Black olive is low FODMAP.,Y,"Though high in fat, olives are considered to have a low calorie density, meaning the number of calories relative to a food's weight or volume. As such, black olives are filling, which can lead to less calorie consumption overall and may aid in weight loss, according to studies.",https://www.hsph.harvard.edu/nutritionsource/carbohydrates/fiber/,5,Hydroxytyrosol in olives may improve insulin sensitivity.,"5 olives (27 g) / serv

CHO = 0.15 g = 0.01 ex","https://pubmed.ncbi.nlm.nih.gov/23516412/
https://pubmed.ncbi.nlm.nih.gov/20209466/",5,Olive polyphenols were shown to inhibit oxidation of LDL cholesterol into arterial plaque.,https://pubmed.ncbi.nlm.nih.gov/20209466/,5,Sodium per serv = 10.8 mg,5,1,Olive oil was found to increase serotonin levels in rats.,1,Consumption of olive oil was found to increase the population of Clostridium which produces butyrate.,1,Healthy oil in olives stimulates bile flow and prompts the liver to produce bile.,0,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Zucchini
Okra
Corn
Leek
Cucumber","Snack
Lunch
Dinner",,,
Black Soybean,Black soya bean contains polyphenol antioxidants that keep arteries clear and reduce the overall risk of cardiovascular disease. Isoflavone compounds in soybeans may have protective effects against osteoporosis and cognitive decline.,4,1,Black soybean is high FODMAP.,N,"Black soya bean is similar to the more common yellow variety but with a darkly pigmented outer coat that gives it its characteristic black color. Black soya beans contain 120 calories, 7g of fiber, and 8g of carbohydrates. Soy fiber promotes weight loss in overweight adults, according to research. However,  should not overeat as 1 serving of soy beans is high in calories and fat.",https://pubmed.ncbi.nlm.nih.gov/23881774/,1,"In a 12-week clinical trial, diets supplemented with soya fiber resulted in significantly lower fasting blood glucose in overweight adult participants.","1 cup (176 g) / serv

CHO = 54.56 g = 3.64 ex",https://sci-hub.se/10.1002/mnfr.201300159,5,Supplementation with soya fiber significantly lowered LDL (bad) cholesterol levels in a clinical trial with overweight adults.,https://sci-hub.se/10.1002/mnfr.201300159,5,Sodium per serv = 63.36 mg,5,1,"Black soy beans are plant-based source of tryptophan which is a precursor to serotonin, a neurotransmitter which induces feelings of happiness.",1,Certain soya peptides (short protein molecules) have been found to increase levels of butyrate-producing bacteria.,1,"Soluble fibre reduces levels of TMAO, a metabolite made by our gut bacteria. Elevated levels of it has been associated with greater risks of cardiovascular diseases, type 2 diabetes, and obesity.",1,Soy,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Kidney Bean
Broad Bean
Lima Bean
Soybean
Chickpea","Lunch
Dinner","kidney bean
chickpea",,
Black Tea,"Amino acid L-theanine in black tea may have calming effects on the mind. Black tea's polyphenols also have antioxidative effects, protecting against cardiovascular disease and neurodegenerative disorders.",5,5,Weak black tea is low FODMAP but strong black tea is low FODMAP only up to portions of 180g.,Y,Black tea's polyphenols have anti-obesity effects which aid in weight loss.,https://www.mdpi.com/1420-3049/21/12/1659/htm,5,"Black tea increases metabolic rate, which promotes cellular energy burning. People who drink at least 4 cups of black tea per day have been found to have 16% lower risk of type 2 diabetes. Black tea also enhances insulin activity.","1 cup (250 g) / serv

CHO = 0.25 g = 0.02 ex",https://sci-hub.se/10.1097/MCO.0b013e328365b9a0,5,Lowers levels of LDL and triglycerides.,https://pubmed.ncbi.nlm.nih.gov/24071782/,5,Sodium per serv = 2.5 mg,5,1,L-theanine in black tea increases levels of GABA and serotonin in the brain.,1,"Drinking tea may support the growth of our healthy gut bacteria, and their production of short chain fatty acids.",1,Black tea polyphenols interacts with your gut microbiota providing a potential cardioprotective effect.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Green Tea
Kombucha",Beverage,"White tea
Oolong tea
Herbal tea",,
Blackberry,"Blackberries increase HDL cholesterol, reduce blood pressure, and contain high levels of heart-healthy polyphenol antioxidants. Blackberry antioxidants can also help prevent age-related cognitive decline.",1,1,Blackberry is high FODMAP.,Y,Blackberry consumption promotes the burning of body fat for energy.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6115824/,5,"With 5.3g of fibre per 100g, blackberries slow the absorption of glucose into the bloodsteam. Blackberries are also considered low GI and unlikely to cause a spike in blood sugar level.","1 cup (144 g) / serv

CHO =  13.8 g = 0.92 ex","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3017317/
https://fdc.nal.usda.gov/fdc-app.html#/food-details/1102700/nutrients",5,A preliminary study found that antioxidants in blackberries inhibit cholesterol production by liver cells.,https://pubmed.ncbi.nlm.nih.gov/23440938/,5,Sodium per serv = 1.44 mg,5,1,"Anthocyanin antioxidants in blackberries may provide antidepressive effects, according to research.",1,"Anthocyanin antioxidants in blackberries supported the growth of Lachnospiraceae and Ruminococcus, resulting in increased butyrate production.",1,"Blackberry anthocyanins may reduce hepatic inflammation, preventing tissue damage in the liver. ",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Raspberry
Blueberry
Plum
Pomegranate
Red Grapefruit","Breakfast
Snack",,,
Blueberry,"High in fiber and low in calories, blueberries are an excellent addition to a weight loss diet. Antioxidants abundantly found in blueberries play a role in protecting the heart and cardiovascular system.",1,5,"Blueberry is low FODMAP, up to 28g.",Y,Blueberry polyphenols influence the gut microbiome in a way that is favourable to weight loss.,https://pubmed.ncbi.nlm.nih.gov/30471564/,3,"In a clinical study, blueberry consumption improved insulin sensitivity in obese participants at risk for developing diabetes.","1 cup (148 g) / serv

CHO =  21.5 g = 1.5 ex",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3139238/,5,"Eating 75g of blueberries with breakfast for 3 weeks showed prevention of oxidation of cholesterol, subsequently preventing hardening of the arteries.",https://pubmed.ncbi.nlm.nih.gov/22935321/,5,Sodium per serv = 1.48 mg,5,1,A diet enriched with blueberries might increase serotonin levels.,1,Blueberry's anthocyanins may stimulate the growth of butyrate-producing Bifidobacterium and Lactobacillus.,1,"Blueberries have antifibrosis effects on the liver, preventing liver cell damage.",1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Raspberry
Blackberry
Strawberry
Mangosteen
Red Grape","Breakfast
Snack",,,
Brazil Nut,"Full of polyunsaturated fatty acids and antioxidants, brazil nuts offer cardioprotective benefits. They are also a source of soluble fibre which improve blood glucose control.",4,5,Brazil nut in portion of up to 40g is low FODMAP.,N,"One-ounce serving of Brazil nuts provides 187 calories, including 19g of healthy fat, 4g of protein, 3.3g of carbohydrate and 2.1g of fiber. When consumed in moderation, brazil nuts are filling and satiating which can reduce overall calorie consumption as it is calorie dense. Brazil nuts are also nutrient-dense and worth including in a healthy weight loss diet for that reason. However,  should not overeat as 1 serving of Brazil unt is high in calories and fat.",https://fdc.nal.usda.gov/fdc-app.html#/food-details/1100514/nutrients,5,"Healthy unsaturated fats in brazil nuts lower blood sugar levels when used to replace carbohydrates in the diet. However, too many Brazil nuts can lead to selenium toxicity, and an increased risk of diabetes, according to research.","1 cup (133 g) / serv

CHO = 8.32 g = 0.55 ex",https://fdc.nal.usda.gov/fdc-app.html#/food-details/1100514/nutrients,3,"Brazil nuts lower LDL (bad) cholesterol and raise levels of HDL (good) cholesterol, according to a study of obese teenagers. In the study, brazil nuts also improved blood vessel health.",https://pubmed.ncbi.nlm.nih.gov/21619692/,5,Sodium per serv = 2.03 mg,5,1,"Selenium in brazil nuts may help promote serotonin and GABA activity in the brain, according to preliminary research.",1,"Brazil nuts have prebiotic properties, which means their fiber acts as a source of energy for beneficial gut bacteria, thereby promoting butyrate production.",1,Brazil nuts may improve inflammatory markers and at the same time does not alter liver and kidney function.,1,Nuts,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Almond
Macadamia
Pistachio
Peanut
Pecan","Breakfast
Snack",,,
Broad Bean,"Soluble fibre in broad beans support heart health by lowering cholesterol, as well as improve blood glucose control. Polyphenols in broad beans nourish the gut bacteria, which provides anti-diabetic effects.",4,1,Broad bean is high FODMAP.,Y,Broad beans are packed with fibre and protein which make them filling and prevent post-meal hunger.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7294352/,5,The phytochemicals and fibre in broad beans grant it antidiabetic effects.,"1 cup (170 g) / serv

CHO = 4.08 g = 0.3 ex",https://pubmed.ncbi.nlm.nih.gov/23398387/,5,Consuming broad beans significantly decreased LDL cholesterol levels through promotion of cholesterol excretion.,https://pubmed.ncbi.nlm.nih.gov/11348576/,5,Sodium per serv = 5.1 mg,5,1,Germinated fava bean is a good resource of GABA-rich food.,1,"In a clinical trial, obese volunteers who supplemented their diets with legume-derived fibre for 12 weeks showed increased levels of short-chain fatty acids (SCFA).",1,"Broad bean, like other legumes, are linked to lower risk of cardiovascular diseases and their related risk factors.",1,Legumes,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Kidney Bean
Lima Bean
Soybean
Black Bean
Chickpea","Lunch
Dinner","kidney bean
black bean
chickpea",,
Broccoli,"Broccoli is a source of quercetin which nourishes the gut bacteria, preventing leaky gut. Broccoli is also a source of sulforaphane, which may offer neuroprotective benefits.",2,5,"Broccoli is low FODMAP, up to 47g.",Y,"In a human study, there was a notable decrease in body fat mass after 70 days of consuming broccoli sprouts.",https://sci-hub.se/https://doi.org/10.1016/j.clnu.2018.03.006,5,"Broccoli is chock full of sulforaphane which is reported to have anti-diabetic effects, increasing insulin levels and decreasing blood glucose levels.","1/2 cup (79.8 g) / serv

CHO = 4.04 g = 0.27 ex",https://pubmed.ncbi.nlm.nih.gov/33598160/,5,A family of compounds in broccoli called glucosinolates has cholesterol-lowering effects.,https://pubmed.ncbi.nlm.nih.gov/25851421/,5,Sodium per serv = 20.75 mg,5,1,Sulfuraphane in broccoli has been reported to inhibit the development of many neurodegenerative diseases like Alzheimer's and Parkinson's. This neuro-protective effect may cause anti-oxidative and anti-neuroinflammaory effects. ,1,"Broccoli consumption showed a 10% increase in Bacteroidetes and 8% increase in Bacteroides, both of which are propionate-producing bacteria.",1,Lutein in broccoli is antioxidative and has been shown to have cardioprotective effects.,1,N/A,"Halal
Pescetarian
Lacto-vegetarian
Lacto-ovo-vegetarian 
Ovo-vegetarian
Vegan","Cauliflower
Leek
Kale
Celery
Spinach","Lunch
Dinner",,,
